# ID	lat[deg]	long[deg]	czHelio[km/s]	Ks	group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]
09390143-0927260	30.7519	244.2420	4850	10.672	111067	1	30.7519	244.2420	4850
09390316-3259106	14.4972	262.7794	9229	10.279	105960	1	14.4973	262.7794	9229
09390563-1749410	25.2375	251.3804	9957	11.481	102512	2	25.2337	251.3559	9999
09390497-3639206	11.8120	265.3479	12433	11.298	101939	2	11.6603	265.3273	12537
09390795+3400223	48.4144	191.2522	4412	11.208	102868	2	48.3991	191.0087	4394
09391725+3633443	48.5563	187.4011	6013	11.625	111393	1	48.5563	187.4010	6013
09391706-1906040	24.3995	252.4374	9638	11.165	100893	3	24.4515	252.6492	9990
09392326+0624063	39.9787	228.3641	9533	10.953	106650	1	39.9787	228.3641	9533
09392307+4707369	47.6673	171.6058	8174	10.981	107999	1	47.6673	171.6058	8174
09392642+3221557	48.3406	193.7220	6862	11.168	109458	1	48.3405	193.7220	6862
09393449+0309298	38.3257	231.9637	13846	11.589	104985	1	38.3257	231.9637	13846
09393379+1130393	42.4453	222.4135	5900	11.598	100243	10	42.8870	222.8724	6296
09393459+4825180	47.4406	169.7161	7378	10.185	100652	4	47.2865	169.6845	7594
09394090-0014062	36.4659	235.5372	4809	10.700	110771	1	36.4659	235.5372	4809
09393791+5947281	43.9460	154.1927	14302	11.721	104739	1	43.9461	154.1927	14302
09393879-1324229	28.3042	247.8087	9218	10.429	105894	1	28.3042	247.8087	9218
09394601-1120445	29.6768	246.0510	4440	10.793	111302	1	29.6768	246.0510	4440
09395846-2243353	21.9964	255.3962	10267	11.299	106825	1	21.9964	255.3962	10267
09395923-3307068	14.5344	263.0205	12617	11.119	105095	1	14.5344	263.0205	12617
09400149-3102348	16.0535	261.5543	11842	10.631	100457	5	16.2512	261.5851	11638
09400662-2503266	20.3714	257.1890	10606	11.445	106234	1	20.3714	257.1890	10606
