# pgc	lat[deg]	long[deg]	czHelio[km/s]	mu	muError	group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]	muGroup	muGroupError
296	-50.3890	104.5586	7977	35.14	0.40	201376	3	-50.40	104.46	7887	35.14	0.40
298	-38.9918	108.8750	4452	33.41	0.40	0	1	-38.99	108.88	4452	33.41	0.40
301	-54.8049	102.3572	5091	34.48	0.40	0	1	-54.80	102.36	5091	34.48	0.40
303	-30.3366	111.3151	4974	33.12	0.40	200786	4	-30.33	110.79	4833	33.76	0.28
305	-55.1249	102.2036	3121	33.24	0.40	211271	1	-55.12	102.20	3121	33.24	0.40
322	-79.2328	12.0236	7988	34.98	0.50	200941	3	-79.27	11.81	8226	34.98	0.50
331	-61.3427	317.0825	10904	35.63	0.50	200218	7	-61.47	317.61	10418	36.21	0.17
337	-56.1531	313.3382	9049	35.42	0.50	208543	1	-56.15	313.34	9049	35.42	0.50
354	-54.1518	103.0326	6154	35.12	0.40	201263	3	-54.13	103.00	6207	35.00	0.28
362	-65.1585	320.6575	10727	34.92	0.50	200108	11	-65.19	320.56	10579	35.74	0.12
366	-54.3026	103.0072	6301	34.88	0.40	201263	3	-54.13	103.00	6207	35.00	0.28
367	-74.9096	75.4658	7426	35.01	0.40	207240	1	-74.91	75.47	7426	35.01	0.40
374	-64.9650	320.3288	10622	36.31	0.50	200108	11	-65.19	320.56	10579	35.74	0.12
382	-65.2489	320.6339	10379	36.06	0.40	200108	11	-65.19	320.56	10579	35.74	0.12
383	-65.8367	321.3046	10688	35.79	0.40	200108	11	-65.19	320.56	10579	35.74	0.12
388	-79.7884	24.8340	737	29.70	0.20	0	1	-79.79	24.83	737	29.70	0.20
393	-8.6294	116.0841	9523	35.77	0.40	206241	1	-8.63	116.08	9523	35.77	0.40
399	-62.0083	317.3830	11058	36.59	0.50	200218	7	-61.47	317.61	10418	36.21	0.17
415	-34.3326	110.6599	7532	35.05	0.16	200542	5	-34.36	110.42	7576	34.97	0.14
424	-73.1156	81.7268	5750	34.49	0.50	211136	1	-73.12	81.73	5750	34.49	0.50
431	-39.1748	109.3352	6615	34.68	0.40	210246	1	-39.17	109.34	6615	34.68	0.40
449	-63.5064	318.6052	10195	35.35	0.50	200409	5	-63.34	318.45	10252	35.75	0.29
456	-64.9503	320.0340	10271	35.91	0.50	200108	11	-65.19	320.56	10579	35.74	0.12
468	-63.0027	318.0617	10754	35.60	0.50	200409	5	-63.34	318.45	10252	35.75	0.29
484	-62.0434	317.1371	11026	35.75	0.50	200218	7	-61.47	317.61	10418	36.21	0.17
485	-64.2414	96.3409	6204	34.21	0.50	207036	1	-64.24	96.34	6204	34.21	0.50
507	-35.6387	110.5529	7559	35.08	0.40	208894	1	-35.64	110.55	7559	35.08	0.40
511	-55.9909	102.7122	5370	34.91	0.40	201352	3	-55.85	102.28	5340	34.68	0.28
514	-64.5762	319.3735	10266	36.00	0.50	200108	11	-65.19	320.56	10579	35.74	0.12
515	-52.6445	104.5597	5257	34.27	0.17	210067	1	-52.64	104.56	5257	34.27	0.17
517	-42.3093	108.6462	7896	35.17	0.40	0	1	-42.31	108.65	7896	35.17	0.40
524	-56.1686	102.6667	5307	34.45	0.40	201352	3	-55.85	102.28	5340	34.68	0.28
