# group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]	muGroup	muGroupError
212242	1	-50.5655	109.8741	1160	31.35	0.22
207516	1	-80.1509	347.6828	7553	34.71	0.50
0	1	-43.6600	112.0900	5224	33.91	0.40
206497	1	-75.9482	88.4353	7681	35.40	0.35
208182	1	-69.8000	98.9776	6769	34.75	0.50
201941	2	-64.8788	103.3075	6285	34.63	0.50
0	1	-38.7900	113.3800	4473	33.84	0.40
201021	3	-81.7517	60.7067	7521	34.72	0.40
0	1	-82.2800	50.8700	9852	35.33	0.40
202578	2	-65.1284	314.7856	6556	34.75	0.50
211941	1	-67.9034	101.7525	3695	33.24	0.16
0	1	-65.7400	103.5800	11950	36.73	0.50
0	1	-47.0900	111.7300	7624	34.92	0.40
0	1	-62.0100	312.6400	8952	35.64	0.40
0	1	-54.3700	109.6300	5734	34.15	0.40
0	1	-3.3400	118.9700	-345	24.34	0.12
207805	1	-66.4264	315.4527	9970	35.46	0.50
201348	3	-15.2246	117.4470	5182	33.76	0.54
201365	3	-66.0913	103.2962	6127	34.38	0.50
200045	18	-40.0403	113.9149	5769	34.35	0.14
0	1	-44.9400	112.7600	5290	33.77	0.40
209923	1	-39.7579	113.9492	6630	35.14	0.40
0	1	-38.6400	114.3200	4493	34.27	0.40
207879	1	-51.7187	111.2922	5380	33.88	0.40
210707	1	-70.1456	101.4682	5689	34.12	0.50
209913	1	-55.3551	110.3726	7554	35.27	0.40
0	1	-38.2600	114.6100	12533	35.22	0.40
202264	2	-75.7494	93.3493	6425	34.68	0.50
0	1	-37.2100	114.8400	12187	36.63	0.40
0	1	-81.8200	69.1400	7372	35.17	0.40
0	1	-46.0700	113.0500	5258	34.72	0.40
201761	2	-59.8228	310.6513	10376	35.48	0.35
0	1	-47.6500	112.9800	5331	34.05	0.40
0	1	-38.1400	114.9600	5708	34.66	0.40
0	1	-36.8000	115.2200	7376	35.22	0.40
212367	1	-45.8820	113.4792	841	31.34	0.30
201355	3	-75.6469	95.8220	7302	35.23	0.29
0	1	-73.1500	99.6800	16302	37.16	0.50
208967	1	-67.1176	105.6048	6090	33.70	0.50
208323	1	-33.3310	116.2860	4737	33.84	0.40
208463	1	-31.1893	116.3473	6796	34.23	0.40
202774	2	-55.6968	111.2637	8673	34.85	0.28
210125	1	-49.4873	113.0916	5133	34.10	0.17
0	1	-74.5700	321.5000	8025	35.22	0.40
0	1	-37.6900	115.4900	4550	33.72	0.40
209583	1	-64.4087	107.9639	5375	34.23	0.40
210736	1	-71.5211	102.6767	5201	33.75	0.50
0	1	-48.0700	113.6900	11188	35.97	0.40
0	1	-74.4200	320.4200	113	26.50	0.16
200497	5	-82.5828	338.6081	1625	31.69	0.20
209747	1	-30.8764	116.8295	6286	34.69	0.40
201276	4	-64.1579	108.9507	4144	33.63	0.18
210233	1	-12.6492	118.9046	5170	33.56	0.30
212153	1	-50.8382	113.4481	2131	32.28	0.30
0	1	-58.8700	111.5000	1385	32.09	0.40
200495	5	-59.5525	111.9116	4226	33.58	0.28
200470	5	-31.8127	117.2229	6368	34.85	0.20
0	1	-68.0000	313.1800	9479	35.79	0.50
0	1	-35.2200	116.6600	9593	35.58	0.40
0	1	-29.3600	117.4500	4744	34.42	0.40
207719	1	-74.9096	101.1347	7677	34.92	0.50
201229	3	-73.5623	102.6298	6188	35.01	0.50
210549	1	-70.4552	106.1352	6224	35.15	0.50
0	1	-19.2500	118.6300	188	29.17	0.20
0	1	-46.6300	115.1100	766	30.53	0.40
211198	1	-50.8422	114.1356	5115	33.25	0.40
203705	1	-75.9055	100.5787	16179	35.95	0.50
0	1	-61.9700	111.2700	4150	32.85	0.40
209779	1	-65.2643	311.0303	3301	33.37	0.50
0	1	-73.4800	316.4900	9930	36.20	0.50
0	1	-84.9400	5.7900	7273	35.10	0.40
206722	1	-71.6286	106.7202	10821	35.89	0.50
209951	1	-70.1272	108.0657	6145	34.89	0.40
200787	4	-79.2263	325.4768	7318	34.48	0.50
201301	3	-83.5661	76.4348	8067	35.58	0.40
0	1	-33.6700	117.6400	4653	33.51	0.40
212285	1	-56.3154	113.9429	2085	30.92	0.54
0	1	-81.3300	90.0300	7095	34.95	0.40
211735	1	-54.0642	114.4329	4349	33.48	0.24
202360	3	-72.9595	105.3863	3534	33.38	0.40
206218	1	-47.9825	115.7514	11430	36.27	0.40
0	1	-31.0100	118.1600	6356	34.42	0.40
206680	1	-75.2098	317.1619	7907	35.24	0.40
202025	2	-74.3582	316.0729	9880	35.44	0.35
0	1	-59.9500	113.4600	2394	33.01	0.30
0	1	-39.2700	117.3300	4673	33.85	0.40
212030	1	-85.5296	51.7649	2963	32.81	0.30
211163	1	-73.5886	106.4760	4004	33.89	0.40
0	1	-78.6400	99.4900	10397	35.44	0.50
210840	1	-31.9490	118.1974	6120	34.37	0.28
211815	1	-50.8738	115.7070	4928	33.87	0.40
0	1	-75.3800	105.0400	6177	34.54	0.40
200735	4	-55.3215	115.3344	5393	34.50	0.40
0	1	-14.2500	119.8200	-193	24.32	0.14
0	1	-49.5500	305.6500	12293	36.41	0.50
0	1	-59.8800	114.0300	4390	33.63	0.40
0	1	-39.2900	117.6400	5181	34.50	0.40
208746	1	-72.1002	108.8602	3732	33.89	0.40
211837	1	-86.1299	21.8962	1534	31.88	0.30
201360	3	-74.8968	107.0986	8030	34.80	0.50
0	1	-54.1800	115.7500	9401	34.97	0.40
0	1	-85.3000	354.0100	1530	31.28	0.30
210741	1	-70.8577	110.2760	1685	30.41	0.40
0	1	-34.3200	118.5100	4177	33.62	0.40
209798	1	-23.1987	119.2120	5868	34.75	0.40
0	1	-30.7900	118.8600	5908	34.44	0.40
0	1	-17.2500	119.9400	5103	35.28	0.54
201967	2	-72.7896	312.8135	7506	34.70	0.50
208542	1	-79.0253	320.0563	7172	34.60	0.50
0	1	-26.2500	119.3300	-345	24.33	0.16
200270	7	-65.5373	112.7764	5907	34.50	0.29
211276	1	-67.2889	112.6668	5059	33.72	0.40
202607	2	-53.8063	116.7761	5310	34.42	0.23
207831	1	-38.7793	118.4262	5254	34.47	0.28
205292	1	-57.3240	306.5747	10033	35.03	0.50
0	1	-72.3800	110.3000	4933	32.62	0.40
206428	1	-41.1756	118.3934	8910	35.42	0.28
0	1	-58.0200	115.7400	4927	32.92	0.40
209676	1	-74.7076	108.6908	6688	34.97	0.50
202420	2	-86.4392	10.9043	7118	34.28	0.40
208438	1	-38.7598	118.6608	4627	34.95	0.40
0	1	-70.2800	310.2400	3546	33.40	0.40
204056	1	-76.6611	108.3569	16035	36.27	0.50
212118	1	-84.4317	86.7991	3063	33.33	0.40
200380	6	-33.2920	119.5629	5384	34.65	0.20
209458	1	-82.1167	98.0467	3896	33.67	0.50
200573	4	-64.7219	113.3865	16901	36.75	0.35
208850	1	-80.2006	103.4624	5970	34.63	0.50
0	1	-57.5600	116.6700	5226	33.92	0.40
0	1	-30.1000	119.6400	4834	34.37	0.40
0	1	-63.3800	307.3700	8391	35.59	0.40
210716	1	-47.7135	118.2490	5354	32.94	0.40
211215	1	-45.3609	118.5925	5428	35.49	0.40
208115	1	-37.1283	119.0566	7384	34.70	0.40
200127	10	-55.9044	117.6656	11730	35.75	0.16
0	1	-14.4800	120.7900	-203	24.00	0.14
202847	2	-71.6509	113.0767	6064	34.57	0.17
211591	1	-56.7162	117.3295	5257	33.12	0.40
208644	1	-87.2940	27.5547	6880	34.93	0.40
0	1	-80.9600	318.4500	6445	34.79	0.40
200053	16	-59.7370	116.9002	5108	34.20	0.40
202202	2	-53.7788	118.0067	4505	34.21	0.40
200069	14	-61.0899	306.0059	8241	35.06	0.16
0	1	-21.1400	120.7200	-241	24.54	0.16
202102	2	-76.5272	111.4061	1526	31.43	0.30
0	1	-87.0400	67.0800	7408	35.10	0.40
0	1	-35.5500	303.4200	13755	36.94	0.50
0	1	-53.6400	304.9500	1712	31.39	0.30
