# group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]	muGroup	muGroupError
0	1	23.1900	260.4000	2415	32.11	0.54
112603	1	46.9173	225.3687	2816	33.34	0.54
108675	1	49.7524	214.8175	8471	35.55	0.40
0	1	50.7400	169.5300	1169	32.32	0.30
0	1	27.8900	255.8700	12254	36.30	0.50
101769	2	49.3078	216.8569	7768	35.20	0.17
100357	6	16.5762	267.1378	2798	32.39	0.16
0	1	52.4200	196.9000	24	24.47	0.10
102222	2	32.6762	250.7132	12126	35.43	0.35
100144	9	39.1701	242.1454	6190	34.86	0.20
0	1	43.7800	233.2000	301	25.70	0.12
112334	1	42.7873	235.5206	2056	32.91	0.54
0	1	15.4700	267.9800	8675	35.33	0.40
101709	2	35.7884	246.9640	10220	35.15	0.35
102043	2	43.5060	234.1900	4061	33.90	0.17
100119	10	31.0039	253.7593	9232	35.75	0.14
0	1	47.2500	225.1500	7405	35.63	0.40
110866	1	51.1470	210.4093	6920	35.33	0.40
103087	2	48.3559	157.8164	1122	32.14	0.18
107119	1	9.9121	272.5688	9796	35.53	0.40
103167	2	30.8818	253.2022	14827	36.31	0.35
109727	1	11.5969	271.3432	6491	35.36	0.50
0	1	52.8100	182.2500	6973	34.86	0.40
111295	1	46.9158	226.8664	5403	34.40	0.40
0	1	53.0200	186.1800	1568	32.91	0.54
0	1	53.0600	193.0200	1447	32.03	0.54
100362	6	37.3512	246.4585	4928	34.15	0.35
0	1	53.0800	187.4200	1434	32.99	0.40
112659	1	50.5694	215.3361	2093	33.07	0.54
102737	2	36.7790	247.7897	636	30.16	0.19
112997	1	23.0702	262.1017	403	25.69	0.12
211441	1	-7.6682	286.3215	2178	31.94	0.54
0	1	22.4900	262.8200	954	31.31	0.40
100329	6	16.3554	267.6139	8866	35.54	0.31
0	1	53.1000	180.2900	603	29.42	0.54
0	1	22.3100	263.1000	361	25.64	0.16
103038	2	49.1896	222.1641	6996	35.38	0.40
100690	4	11.5311	272.5141	5959	34.44	0.54
112992	1	21.5083	263.9312	1039	30.84	0.40
0	1	53.4000	199.3900	481	29.43	0.20
0	1	-12.2400	290.0400	5100	34.80	0.40
0	1	34.2000	130.6900	1524	30.94	0.54
102980	2	14.6761	269.7975	4798	34.75	0.40
110278	1	47.5602	228.1955	7204	35.05	0.20
110203	1	30.0137	256.1483	4976	34.63	0.40
200337	6	-9.1199	288.0209	1819	31.78	0.20
112170	1	29.4946	256.9285	4985	34.92	0.28
111238	1	31.1168	255.1218	5070	34.61	0.40
0	1	54.0600	193.4000	1354	32.94	0.40
0	1	26.6800	259.8300	15524	36.75	0.50
111634	1	11.8130	272.4792	2726	32.38	0.50
110905	1	8.6827	274.8917	3901	33.06	0.45
0	1	17.2300	268.3000	8854	35.22	0.40
0	1	54.2100	193.2700	1339	32.33	0.40
0	1	52.3100	170.0000	635	30.11	0.30
113085	1	47.9434	228.3711	544	30.11	0.20
0	1	49.4200	224.6400	2756	33.66	0.30
112876	1	50.2755	160.8353	1112	31.62	0.54
107380	1	28.3828	258.7531	8028	34.78	0.50
0	1	49.1100	225.9900	283	22.06	0.12
111002	1	41.9986	241.5451	6376	35.26	0.40
108521	1	51.5766	217.5346	5102	34.47	0.40
100091	12	13.1168	272.1927	5304	34.22	0.35
102073	2	35.0368	251.7173	3584	32.62	0.50
102830	2	22.3775	265.9184	1104	31.07	0.21
0	1	34.5600	252.3900	7817	35.81	0.40
102550	2	31.1866	256.2589	8480	35.25	0.35
0	1	15.2500	270.6500	6149	34.66	0.40
105864	1	34.8218	252.4086	9200	35.49	0.50
107905	1	34.3667	252.9823	3652	33.98	0.40
109781	1	17.3154	269.2557	3072	32.57	0.50
0	1	20.8400	266.4300	2716	33.33	0.30
108023	1	26.4987	261.4532	9509	34.78	0.50
0	1	39.8800	246.1500	324	25.69	0.12
106637	1	28.0695	260.2237	9096	34.86	0.40
111615	1	19.9845	267.3776	2815	32.50	0.30
210598	1	-13.5362	291.7240	5347	34.59	0.40
102927	2	54.7107	202.2040	4764	34.39	0.40
0	1	24.7000	263.5800	9624	35.57	0.40
0	1	17.6400	269.5000	2503	32.78	0.30
101282	3	45.5583	238.1782	1246	31.80	0.16
105017	1	40.9819	245.3405	12170	36.12	0.50
102328	2	23.2906	265.1767	2542	33.04	0.30
112485	1	50.2258	226.2518	2808	32.70	0.30
100533	4	42.8698	242.8005	14066	36.33	0.10
100626	4	41.5302	244.5580	12912	36.59	0.22
108911	1	39.3950	247.9257	7937	35.20	0.50
100852	3	38.0731	249.7042	13215	36.01	0.35
111217	1	17.6620	269.7750	4392	34.27	0.50
0	1	47.6200	233.8900	1220	33.11	0.40
111464	1	27.8794	261.2408	3650	33.66	0.40
100273	11	55.0514	214.4578	1280	31.95	0.11
105953	1	39.2223	248.7807	12218	35.20	0.50
100014	47	19.1332	272.4251	2908	32.82	0.09
100247	7	14.6891	271.4396	4606	33.59	0.40
0	1	42.7600	243.6500	9415	34.40	0.40
110219	1	27.1723	262.1780	3839	33.55	0.50
0	1	44.7500	144.8600	3317	33.64	0.40
107410	1	51.4258	224.7731	10239	36.11	0.40
109167	1	38.8258	135.6149	6446	35.11	0.40
100777	4	29.2470	260.5618	3578	34.17	0.50
109087	1	50.0850	156.4612	7307	34.86	0.17
112662	1	48.1422	233.8538	3752	34.11	0.40
102494	2	48.5225	152.4475	7613	35.18	0.40
105606	2	22.7345	266.7444	10976	35.51	0.40
0	1	55.8700	184.8300	1163	30.60	0.30
100715	4	39.4033	136.0804	2915	33.06	0.13
109541	1	6.5294	278.5252	2746	32.24	0.30
105505	1	40.1616	248.5767	11498	35.48	0.50
101910	2	47.7688	150.4310	9288	35.47	0.20
0	1	41.8200	246.3200	1307	31.57	0.54
101197	3	52.8115	220.5525	8297	35.23	0.40
108637	1	31.6277	259.2296	3517	33.50	0.31
0	1	13.5400	274.1700	7635	35.55	0.40
102152	2	24.7805	265.8432	9860	35.88	0.40
112174	1	56.6784	190.3298	4512	34.12	0.40
210633	1	-12.4912	291.6533	5480	34.98	0.50
102460	2	14.5172	273.8935	4614	34.36	0.40
108401	1	30.2952	260.9590	6877	33.87	0.50
112476	1	54.8290	171.2186	667	30.61	0.17
101103	6	28.9875	262.8119	3626	33.79	0.35
112358	1	15.8496	272.7629	4492	34.05	0.40
105269	1	38.6075	252.1127	12732	36.16	0.50
106931	1	13.9032	274.2226	7284	35.50	0.50
100106	11	14.9643	274.9824	2750	33.09	0.16
0	1	52.5200	225.7800	5535	35.29	0.40
101862	2	52.5312	228.3525	3010	32.88	0.28
108919	1	31.7779	260.2260	8528	35.07	0.50
113049	1	50.1614	154.0945	1158	31.38	0.30
109309	1	47.5973	239.3481	6854	34.72	0.40
0	1	55.8000	173.8200	5264	34.56	0.40
0	1	16.9600	272.5800	4666	34.60	0.40
102489	2	42.7908	247.7506	9385	36.12	0.35
111316	1	55.0556	169.8100	5051	34.45	0.40
0	1	51.1400	232.0000	9719	35.89	0.40
100416	5	52.7385	228.1332	9626	35.63	0.18
101157	3	33.0154	260.0910	8123	35.17	0.29
0	1	41.6200	250.0000	5272	34.00	0.40
0	1	23.7700	267.9700	3861	32.95	0.54
109670	1	20.8765	270.2025	2967	33.76	0.54
102158	2	17.6665	272.3532	10156	36.11	0.50
0	1	29.7900	263.0800	5577	34.95	0.40
0	1	53.7300	225.3200	1386	32.32	0.54
112914	1	49.8646	152.1235	2133	33.23	0.30
112907	1	34.6952	258.6939	2076	32.75	0.54
100963	3	44.1288	247.3994	5631	34.29	0.31
0	1	52.5400	229.9600	2359	33.14	0.30
112987	1	53.8207	226.1340	1374	32.30	0.54
110160	1	31.0017	262.5080	5634	34.42	0.50
109291	1	10.0254	278.1204	4665	33.94	0.54
100522	5	52.5340	231.2317	9676	35.50	0.14
110926	1	55.2491	221.2940	5564	34.33	0.40
0	1	52.8800	229.7100	9401	35.71	0.40
112782	1	48.3657	240.4782	2139	32.84	0.45
0	1	29.8000	263.7900	5699	34.79	0.30
110728	1	58.2391	189.7069	6656	34.78	0.40
100784	4	58.6271	201.5364	1375	32.07	0.17
102605	2	54.8230	223.6790	10099	35.69	0.17
0	1	41.4100	137.4200	10493	35.62	0.20
107326	1	45.1912	246.4805	10555	35.85	0.50
100237	7	43.7733	248.8916	9092	35.56	0.35
0	1	58.1400	204.4900	6571	34.92	0.40
100590	4	20.5847	271.1785	8995	35.94	0.40
100663	4	13.4727	276.6902	5758	34.74	0.31
0	1	48.5600	241.2900	1155	31.59	0.54
102659	2	22.2035	270.4930	4270	33.43	0.50
102940	2	53.5996	229.2811	9677	35.58	0.40
100215	8	11.7182	277.7568	2786	32.78	0.30
112521	1	50.2360	238.2856	3562	33.41	0.40
0	1	57.4200	214.0700	16325	36.84	0.17
100006	85	26.4074	269.5970	3712	33.67	0.05
0	1	28.3900	265.9300	3805	33.67	0.30
0	1	54.0400	228.9000	2938	33.28	0.54
112042	1	57.2550	173.9139	4154	33.60	0.54
101048	3	57.1100	172.8266	8587	35.72	0.40
0	1	57.8100	212.8700	14818	37.23	0.40
0	1	49.6300	240.8000	1177	31.54	0.30
106286	1	33.0860	262.4223	9999	35.48	0.40
112518	1	21.5359	271.6918	3788	33.73	0.54
107329	1	58.5747	209.0459	6247	34.58	0.30
100426	5	54.2013	230.8090	9875	35.67	0.23
100966	3	58.7682	206.9557	6091	34.84	0.30
101252	3	10.1168	279.1447	2728	32.02	0.45
100765	4	15.5595	275.6295	4750	33.91	0.54
103142	2	40.3573	255.1914	9212	35.12	0.50
105522	1	45.9411	247.7919	11656	35.20	0.50
106906	1	43.4738	251.3762	8861	35.73	0.50
0	1	51.8400	153.9400	933	30.88	0.54
100707	4	28.9483	267.1946	3653	33.50	0.26
112928	1	52.8028	156.1962	1437	30.94	0.54
102527	3	46.4810	143.4137	1705	32.63	0.30
100616	4	37.8705	258.2973	8796	35.39	0.25
109814	1	42.5222	252.9197	4944	34.58	0.50
0	1	16.4200	275.5300	965	31.01	0.40
103082	2	41.6699	255.2710	4946	34.12	0.26
102700	2	23.6624	270.4623	3440	34.31	0.30
101362	3	55.8311	228.6940	2998	31.97	0.54
111662	1	22.3076	271.9263	4455	33.25	0.54
112989	1	40.0491	134.7978	1156	31.45	0.54
113012	1	59.7727	188.7897	1524	32.61	0.40
100122	11	57.6487	233.4474	972	30.36	0.06
102789	2	58.9204	215.2685	1297	30.82	0.30
100344	6	57.6136	170.5232	7410	35.05	0.40
111085	1	12.1956	278.6855	6056	34.74	0.40
0	1	25.1200	270.3300	9754	35.50	0.40
100330	6	12.8968	278.6657	6279	34.93	0.23
111457	1	59.8424	184.6183	1567	32.29	0.17
109232	1	34.2241	263.3608	6117	34.54	0.40
110761	1	22.4566	272.5082	2830	32.97	0.30
0	1	53.8100	235.3100	9654	35.89	0.40
112294	1	55.4310	230.9790	2889	33.20	0.30
110208	1	14.5691	277.6691	2837	32.73	0.21
102531	3	60.4791	184.3379	7054	35.59	0.40
0	1	46.6200	142.7600	6741	35.05	0.17
0	1	53.9600	235.2700	9698	35.55	0.40
0	1	43.9000	138.9900	1823	32.99	0.54
100648	4	24.4919	271.8208	3468	33.32	0.16
212078	1	-19.5999	297.7498	2003	32.14	0.30
106565	1	49.2071	245.7065	10391	35.38	0.40
102147	2	60.0283	180.8259	9176	36.09	0.40
0	1	35.8300	130.1100	1957	32.79	0.40
108610	1	46.3106	250.4684	8266	35.22	0.40
100883	3	51.5770	240.9082	8654	35.03	0.40
112510	1	39.6227	258.8818	2547	32.94	0.30
100029	29	11.1552	280.6275	6248	34.51	0.14
113022	1	59.3419	175.9802	713	30.58	0.17
0	1	49.4400	246.0800	707	30.09	0.20
100692	4	29.9199	268.0004	3769	32.16	0.31
0	1	56.9900	164.9600	852	31.95	0.30
112471	1	57.2593	165.8442	2331	32.73	0.30
0	1	57.0400	164.9400	1529	32.45	0.30
102072	2	19.6652	275.2568	4244	34.03	0.40
0	1	57.4200	226.8500	6657	35.74	0.40
107867	1	60.2891	211.3535	6304	34.72	0.17
100458	5	19.6074	275.8780	3003	32.47	0.18
106932	1	54.2682	236.8320	5833	34.56	0.17
107784	1	46.6316	251.4242	6265	34.38	0.50
0	1	52.7600	240.8600	6259	34.96	0.40
110172	1	57.8218	227.1358	6604	35.54	0.40
0	1	56.4100	232.3200	9784	35.81	0.40
0	1	24.3300	272.7700	2492	32.82	0.40
0	1	30.2200	268.6200	1043	30.52	0.30
0	1	27.8300	270.4200	10648	35.77	0.40
0	1	51.2500	149.0600	9362	35.57	0.20
0	1	19.1300	276.3400	669	29.20	0.20
112165	1	61.2549	210.0400	580	29.96	0.20
0	1	56.2200	234.2300	6586	35.48	0.40
111451	1	30.0021	269.1496	3724	33.77	0.30
0	1	47.2800	251.8300	10998	36.04	0.50
110750	1	18.1125	277.0490	2934	32.81	0.30
0	1	61.8200	203.3700	1470	32.16	0.54
108950	1	53.5844	241.0819	6174	34.39	0.40
107621	1	40.7714	259.9074	8488	35.59	0.50
112155	1	23.4052	273.9028	2976	33.15	0.30
102754	2	28.9402	269.9693	4404	34.27	0.50
112585	1	40.8315	259.9342	1927	32.17	0.30
106809	1	38.3682	262.3917	8444	35.63	0.50
100269	7	62.1113	207.6803	6321	34.83	0.40
112365	1	38.0794	131.6928	1948	33.19	0.30
0	1	56.5400	234.9200	6566	34.85	0.40
0	1	55.6700	237.3700	10063	35.90	0.40
112899	1	50.7553	247.7521	996	31.23	0.30
100408	5	48.3041	252.0771	11157	35.39	0.29
112635	1	48.5926	143.5972	1009	31.38	0.30
0	1	62.3200	206.9500	6282	34.66	0.20
112647	1	59.6723	225.3510	1279	32.09	0.12
0	1	17.9600	278.0400	715	29.20	0.20
112284	1	56.7995	235.8049	2703	32.76	0.30
104734	1	49.5791	251.3773	11601	35.92	0.35
0	1	58.0400	232.5600	5494	34.87	0.40
113077	1	54.6431	242.1569	720	31.11	0.54
100492	5	63.3998	203.9344	1403	32.06	0.16
101971	2	24.4257	274.2778	3093	31.40	0.54
100508	5	63.4785	192.8251	1627	31.97	0.25
0	1	57.2600	236.4500	10111	36.09	0.40
100324	6	40.6613	262.5303	4682	34.24	0.19
101175	3	36.8948	266.0148	6124	34.82	0.31
102107	2	47.0403	140.5587	3315	34.09	0.40
0	1	47.0300	140.5000	3232	33.72	0.20
107263	1	62.7461	185.5829	7176	35.00	0.40
112067	1	59.0549	232.0746	3035	33.43	0.40
113065	1	63.4760	193.3473	634	30.99	0.28
0	1	42.7200	260.8500	2484	33.30	0.54
112866	1	34.7199	268.0295	2062	32.08	0.30
107511	1	56.5426	239.4636	7992	35.40	0.40
0	1	56.1000	240.4800	6627	34.86	0.20
102982	2	21.1792	277.0877	4655	34.49	0.30
0	1	53.6100	245.8800	1041	31.87	0.40
108517	1	50.1352	252.0327	5536	34.54	0.40
112910	1	63.1624	184.7727	618	30.71	0.54
0	1	57.1900	238.6500	6386	35.22	0.40
112357	1	62.8196	215.1817	1256	31.92	0.30
109820	1	12.8108	281.9366	5621	34.15	0.50
112588	1	12.3652	282.2024	2823	33.43	0.40
101179	3	23.6896	276.0298	3269	33.52	0.30
108529	1	57.3865	238.4734	9376	35.92	0.40
101358	3	61.4038	226.5197	1118	31.90	0.16
108522	1	17.1525	279.7350	4838	34.05	0.50
112804	1	45.1304	259.0363	2483	33.54	0.40
102738	2	63.7853	206.6021	6299	35.10	0.40
112327	1	53.7204	149.2129	1818	32.94	0.30
102861	2	42.0043	262.6896	8207	35.15	0.35
109022	1	19.0985	278.8475	7790	34.88	0.40
112862	1	40.9517	133.4430	1262	32.15	0.30
105351	1	60.0859	165.9622	12429	36.20	0.17
110243	1	38.2963	266.0494	4238	33.28	0.40
100493	5	12.1964	282.5959	5767	34.89	0.40
0	1	58.4000	236.9500	9482	35.63	0.40
112820	1	53.6648	149.5934	2069	31.11	0.40
0	1	58.1700	237.6600	9435	36.05	0.40
109897	1	34.1329	269.5741	3736	33.57	0.40
102218	2	50.5071	144.7226	5090	34.94	0.40
0	1	60.0500	232.1100	9963	35.84	0.40
110735	1	29.8362	272.7615	4056	34.14	0.30
210538	1	-23.2558	300.6050	4559	33.58	0.40
0	1	26.0700	275.1800	2169	33.10	0.40
112007	1	24.8730	276.1461	3396	33.78	0.30
109393	1	40.1216	265.5608	4598	34.06	0.50
101150	4	10.0688	284.0149	4810	33.86	0.50
100427	5	10.7685	283.9293	5816	34.33	0.35
110581	1	35.4295	269.6700	3873	33.55	0.50
105927	1	36.7898	268.6888	11241	35.39	0.50
103946	1	46.7941	259.3556	14341	36.36	0.25
102565	2	48.1436	257.7054	6710	35.09	0.40
100058	15	52.9152	251.6139	11895	36.16	0.10
101643	2	64.4371	212.9776	6251	35.91	0.40
111123	1	11.9920	283.5292	2875	33.89	0.54
0	1	60.2400	235.3000	10281	35.68	0.40
0	1	21.6900	278.6500	8893	34.85	0.40
112297	1	50.8216	143.7307	2112	32.28	0.25
101684	2	60.8923	164.8436	6502	34.81	0.40
107700	1	60.0294	237.4278	6351	35.05	0.40
0	1	19.2900	280.2300	7723	35.29	0.40
0	1	62.2900	229.2800	946	32.47	0.40
102880	2	65.5253	202.0914	698	30.73	0.21
100125	17	58.5703	240.3735	10388	35.82	0.16
111311	1	40.8795	266.4441	4020	33.84	0.50
112749	1	14.4853	282.8313	1420	31.34	0.28
112473	1	54.7260	249.8873	1130	31.34	0.30
112362	1	53.8410	147.6780	2996	32.99	0.30
0	1	65.1200	214.2300	6284	34.79	0.40
0	1	62.5600	229.7900	2946	33.39	0.30
100319	7	61.7386	165.4317	6399	34.72	0.40
102209	2	63.5168	227.1614	1050	31.86	0.30
112048	1	32.9045	273.0577	3639	33.22	0.40
102618	2	33.3824	272.9491	1162	30.48	0.30
106303	1	38.2927	269.4978	8129	35.75	0.31
111825	1	36.0684	271.2229	3749	33.81	0.50
100105	11	44.9608	265.0551	7927	35.25	0.17
110069	1	51.5013	256.7767	5554	34.17	0.50
100090	12	21.2435	281.4623	2846	32.75	0.12
106257	1	52.1452	256.1423	10041	35.32	0.50
0	1	26.2200	277.8900	3718	34.44	0.54
107723	1	52.8292	255.5320	801	30.61	0.30
112413	1	35.6895	272.1455	3560	33.80	0.40
100735	4	66.5648	200.0558	8991	35.02	0.40
107493	1	51.1675	258.0756	9382	35.70	0.50
0	1	60.7700	240.3400	9372	36.08	0.40
112937	1	65.0446	223.6741	1204	32.01	0.28
0	1	63.1900	167.8600	759	30.32	0.30
0	1	58.8700	155.2000	2207	32.49	0.30
112934	1	58.1857	246.9670	1420	31.39	0.30
110023	3	61.0326	240.7960	1497	31.84	0.26
100020	27	67.7313	203.5331	9850	35.94	0.15
0	1	62.1400	237.2100	13568	36.55	0.40
0	1	18.6800	282.1900	7035	35.15	0.40
112036	1	12.7028	284.9840	1068	29.94	0.45
105043	1	11.1372	285.6838	13690	35.61	0.35
100833	3	62.0501	237.9206	10635	36.69	0.40
0	1	60.2500	243.2700	12077	36.37	0.40
103012	2	11.5278	285.9859	4350	34.24	0.50
101245	3	31.1439	277.2697	1378	31.64	0.18
100511	5	66.2558	220.5032	9537	35.51	0.13
101145	3	12.5127	285.4965	5430	33.69	0.50
109496	1	42.5719	268.3945	4411	33.93	0.50
0	1	59.9200	245.2100	8885	35.68	0.40
110418	1	58.7757	247.8404	6314	35.04	0.40
0	1	62.4000	162.8200	1409	32.18	0.40
100634	4	57.2116	251.1667	8795	35.18	0.40
0	1	56.5200	149.1300	17315	36.84	0.17
105820	1	21.9513	281.3430	9747	35.44	0.50
110128	1	57.2576	251.3397	5800	34.90	0.40
107611	1	27.6922	278.4391	8938	34.18	0.40
112293	1	61.9767	240.6268	3257	32.80	0.40
0	1	40.6600	270.2800	3928	33.75	0.40
110833	1	57.8427	151.3385	2847	33.13	0.30
107569	1	49.9036	262.0223	7601	35.07	0.50
107400	1	27.0706	278.9623	9924	35.75	0.40
108821	1	38.5259	272.0960	3671	33.45	0.50
111795	1	56.2519	148.3146	699	29.90	0.30
0	1	24.6400	280.2200	8786	34.82	0.40
0	1	62.9900	238.7600	10323	36.16	0.40
0	1	36.1100	274.1600	8111	34.99	0.40
0	1	67.4000	217.3100	6336	34.48	0.40
212211	1	-8.0390	294.3781	1330	30.46	0.54
0	1	67.2300	220.1600	86	21.90	0.16
111669	1	15.4109	284.9442	5182	34.19	0.40
107743	1	57.3949	253.0955	7050	35.54	0.40
112331	1	62.7743	241.1297	3249	33.39	0.40
100023	16	66.5787	232.3905	1142	31.81	0.10
0	1	64.6400	167.1900	2199	32.37	0.40
110122	4	64.3670	241.3333	750	29.90	0.11
112904	1	68.5773	198.6375	2003	32.65	0.54
0	1	61.6400	244.9000	13972	36.55	0.40
111838	1	29.8604	278.4674	3384	33.02	0.30
0	1	52.6900	142.1400	1969	31.87	0.30
0	1	-21.2300	300.1300	12108	36.29	0.50
101246	3	24.8944	281.1140	2943	33.14	0.30
0	1	62.4300	244.0000	5880	34.87	0.40
102748	2	69.0840	209.0972	8124	35.86	0.40
100779	4	11.3305	287.4048	4372	33.69	0.23
112712	1	24.0306	281.8854	2586	31.90	0.40
0	1	68.1500	220.4100	9735	36.11	0.40
100444	5	57.7761	256.6476	1564	32.20	0.19
109824	1	30.5410	278.8086	7155	34.87	0.40
100783	4	68.3787	174.6939	2008	31.99	0.26
103069	2	22.9748	282.6084	9768	35.65	0.40
112503	1	59.9289	152.5340	2850	33.01	0.40
112247	1	18.8797	284.3565	3114	33.38	0.30
110259	1	26.0998	281.2128	720	29.13	0.12
112065	1	63.7842	161.5459	2327	32.72	0.30
100201	8	55.2428	143.8327	1808	32.43	0.13
100619	4	69.1925	213.5517	7679	34.95	0.40
0	1	33.5600	277.5100	8580	35.94	0.40
102776	2	13.2340	286.7279	5540	35.00	0.50
101832	2	29.3893	280.1273	9043	35.68	0.40
108274	1	68.0594	224.6666	6221	34.67	0.17
0	1	63.6500	243.4100	10100	36.04	0.40
103233	1	57.5344	149.0859	20843	37.16	0.20
107373	1	54.3778	261.0637	7358	34.98	0.40
109679	1	68.6382	182.4291	7569	35.17	0.40
0	1	36.6200	276.2200	1337	32.42	0.54
113016	1	47.5487	135.7683	1301	30.96	0.45
0	1	59.9500	252.8300	6191	34.42	0.40
108614	1	47.6716	268.4120	6727	34.92	0.50
112892	1	69.7856	208.1715	1513	32.55	0.40
100726	4	47.2343	270.0458	1828	32.11	0.16
0	1	69.8100	195.8200	2182	32.46	0.30
100313	6	50.5556	265.9146	8594	35.68	0.29
110547	1	68.6224	223.7245	6306	34.73	0.17
100127	10	69.4569	187.1111	10468	35.98	0.11
109092	1	57.5407	257.5870	7143	34.72	0.40
100490	5	68.3816	226.8184	4270	33.70	0.30
105295	1	12.1784	287.8383	13709	35.67	0.50
0	1	66.0200	166.2700	3162	33.34	0.40
0	1	45.5600	133.8200	1308	31.63	0.30
0	1	69.3600	185.1700	2033	33.36	0.40
0	1	21.5300	284.1800	2884	34.79	0.40
0	1	64.8600	242.5300	1572	32.06	0.54
0	1	64.6500	243.1600	4182	34.17	0.40
0	1	22.8300	283.7600	3763	34.84	0.40
112032	1	16.0270	286.5206	5243	34.33	0.40
0	1	50.4000	137.9500	1013	32.15	0.30
110793	1	16.6543	286.3329	5204	34.58	0.54
0	1	60.9600	152.0800	792	31.66	0.30
107224	1	37.6440	276.7589	10443	35.83	0.50
108104	1	54.7582	262.6371	5517	35.25	0.40
109270	1	45.2296	271.8302	4945	34.25	0.16
100174	8	69.9149	216.2080	7758	35.47	0.40
102432	3	70.5622	207.0805	10021	35.91	0.40
112930	1	45.8403	133.7425	1570	32.23	0.30
210374	1	-15.1268	298.0281	5255	33.51	0.40
111649	2	63.8977	250.7506	1040	31.36	0.21
110070	1	14.0201	287.6601	5568	33.76	0.50
100669	4	43.8655	272.9489	5207	33.22	0.40
110633	1	32.2827	280.0945	1987	31.54	0.30
100171	8	70.2522	182.3552	10381	35.67	0.25
101119	3	51.0760	137.9685	3592	34.49	0.40
109377	1	46.4375	271.5515	5709	35.06	0.50
0	1	68.7000	231.0000	5333	34.60	0.40
109310	1	12.3128	288.4889	5617	34.27	0.40
100008	56	66.0753	145.7687	910	31.10	0.04
0	1	62.0900	252.6900	6306	35.24	0.40
109935	1	43.7228	273.8003	6629	34.83	0.50
0	1	66.1400	242.5100	12293	36.01	0.40
0	1	64.6400	247.0300	3207	33.53	0.40
110603	1	17.1507	286.8689	4166	33.93	0.50
0	1	59.1400	147.5600	649	31.59	0.45
102836	2	30.1518	281.7283	7143	35.21	0.40
0	1	37.3300	127.8400	-92	28.28	0.16
102794	2	23.6066	285.0477	3000	32.78	0.26
110843	1	71.3198	212.7145	2739	33.30	0.30
108420	1	44.9007	273.7003	4951	33.26	0.50
100523	5	63.4197	251.8146	6269	34.88	0.20
112239	1	63.5790	251.1322	1704	32.90	0.30
109573	1	44.1277	274.4362	6573	35.15	0.50
101329	3	70.1350	226.9514	6268	34.76	0.30
112082	1	68.5551	236.1306	3894	34.07	0.40
112020	1	56.6394	143.2112	2427	33.08	0.30
112433	1	71.2984	217.6925	2796	32.90	0.30
108024	1	27.9864	283.3516	9031	35.42	0.40
111487	1	38.3752	278.3817	3578	33.11	0.50
101356	3	46.5977	273.2369	5295	34.48	0.35
100050	20	48.5916	272.6115	6324	34.69	0.15
0	1	72.2200	203.6200	1583	31.39	0.54
0	1	71.4000	185.6900	6306	34.79	0.40
0	1	71.4600	221.0100	2914	33.09	0.30
102382	2	29.4686	283.1364	1720	31.42	0.30
111967	1	44.3213	275.3621	2157	33.08	0.40
112823	1	70.6804	178.3096	2497	33.35	0.54
111665	1	19.0279	287.3259	4820	34.61	0.40
101273	3	57.5800	263.7796	5868	35.36	0.28
100675	4	52.9478	137.7152	3411	33.64	0.28
112841	1	41.4341	129.7860	1913	32.31	0.30
100232	7	63.5408	151.9394	9709	35.64	0.22
0	1	70.6600	230.2300	6130	34.79	0.30
110685	1	61.5848	258.2755	5410	34.60	0.40
102339	2	53.6066	268.5889	15634	36.26	0.35
110808	1	45.3023	275.3460	4981	33.95	0.50
0	1	51.6700	136.9500	1271	31.11	0.30
111108	1	72.2499	190.2711	6273	34.54	0.40
0	1	63.2700	151.9000	251	28.13	0.20
109416	1	72.0572	220.5733	7135	34.61	0.40
0	1	64.9900	252.1800	9165	36.00	0.40
0	1	43.1300	276.8900	3664	34.09	0.40
0	1	54.1500	268.4100	1605	32.33	0.54
0	1	71.0700	177.8200	6439	34.99	0.40
110714	1	51.6403	271.0195	5000	34.15	0.40
112744	1	23.1805	286.3980	3245	33.21	0.40
0	1	69.1300	240.8500	5442	34.47	0.40
0	1	58.9800	144.3800	1184	31.69	0.54
0	1	69.0800	241.3000	5121	35.05	0.40
107995	1	14.8028	289.4022	10071	35.85	0.40
100764	4	22.7381	287.0379	2770	32.94	0.37
111427	1	57.4301	265.8166	5955	34.17	0.40
106913	1	72.8758	215.5022	9595	35.81	0.40
100314	6	11.9859	290.7452	5372	34.71	0.40
113080	1	59.3157	144.5534	229	28.62	0.20
110569	1	12.5168	290.2444	6343	34.87	0.40
109667	1	45.2796	131.7424	2696	33.06	0.30
0	1	66.4400	157.5700	229	27.54	0.16
111509	1	46.2972	275.8043	4257	34.65	0.50
100769	4	56.4316	139.7557	1234	32.06	0.16
0	1	15.8200	289.2900	3222	33.71	0.40
101772	2	63.6429	151.3475	11259	36.00	0.50
102361	2	72.2888	176.4988	1522	32.09	0.21
0	1	58.1500	265.5100	1106	30.93	0.40
111988	1	45.9933	276.2728	4987	34.61	0.40
110449	1	37.4509	281.0152	7122	35.59	0.31
100254	7	49.3291	274.5825	5779	34.93	0.22
107463	1	66.8339	250.4865	10731	36.08	0.40
100446	5	71.4903	231.3583	6444	34.96	0.30
112423	1	69.2178	242.9320	3972	34.04	0.24
