# rSmooth[Mpc/h]	czMin[km/s]	fSig8	fSig8_eShot	fSig8_eDist	fSig8_eCal	fSig8_eTot	fSig8Lin	fSig8Lin_eShot	fSig8Lin_eDist	fSig8Lin_eCal	fSig8Lin_eTot	BExtX[km/s]	BExtX_eShot[km/s]	BExtX_eDist[km/s]	BExtX_eCal[km/s]	BExtX_eTot[km/s]	BExtY[km/s]	BExtY_eShot[km/s]	BExtY_eDist[km/s]	BExtY_eCal[km/s]	BExtY_eTot[km/s]	BExtZ[km/s]	BExtZ_eShot[km/s]	BExtZ_eDist[km/s]	BExtZ_eCal[km/s]	BExtZ_eTot[km/s]	h	h_eShot	h_eDist	h_eCal	h_eTot
20.0	1000.0	0.43483	0.04328	0.02447	0.06979	0.08569	0.39348	0.03916	0.02214	0.06315	0.07754	135.78	76.29	12.47	2.37	77.34	-164.38	84.05	16.93	18.23	87.65	45.84	80.09	10.84	26.45	85.04	0.74908	0.00138	0.00113	0.00647	0.00671
20.0	2000.0	0.40901	0.04664	0.03186	0.06582	0.08673	0.37012	0.04221	0.02883	0.05956	0.07849	94.22	65.38	16.75	4.34	67.63	-168.39	72.53	20.95	22.61	78.81	20.11	69.75	15.32	4.54	71.55	0.75081	0.00115	0.00118	0.00523	0.00548
20.0	3000.0	0.47051	0.06265	0.04242	0.07746	0.10828	0.42577	0.05670	0.03838	0.07010	0.09799	42.86	71.75	21.24	0.42	74.83	-139.43	79.11	25.55	5.88	83.34	44.96	78.37	20.09	11.97	81.78	0.75021	0.00122	0.00124	0.00473	0.00504
20.0	4000.0	0.44552	0.06678	0.05004	0.07457	0.11191	0.40315	0.06043	0.04528	0.06748	0.10127	34.29	66.18	24.06	4.17	70.54	-153.94	72.93	28.69	9.26	78.91	53.68	73.25	22.80	4.53	76.85	0.74875	0.00114	0.00129	0.00459	0.00490
20.0	5000.0	0.52466	0.08874	0.06513	0.08453	0.13879	0.47476	0.08030	0.05893	0.07649	0.12559	2.90	73.72	29.70	5.86	79.69	-179.52	81.88	35.70	7.14	89.61	51.30	83.87	26.84	21.59	90.67	0.74824	0.00134	0.00138	0.00438	0.00478
25.0	0.0	0.43751	0.04996	0.02047	0.14083	0.15083	0.39590	0.04521	0.01852	0.12744	0.13648	139.65	100.60	7.88	17.27	102.38	-237.41	109.03	15.30	120.46	163.19	186.12	104.89	9.23	53.61	118.16	0.74874	0.00171	0.00108	0.01080	0.01098
25.0	1000.0	0.44721	0.06007	0.02793	0.08259	0.10587	0.40468	0.05435	0.02528	0.07474	0.09581	142.26	85.48	13.06	4.00	86.57	-169.25	94.42	19.04	18.89	98.16	46.96	90.69	12.42	25.06	94.91	0.75019	0.00148	0.00113	0.00702	0.00726
25.0	2000.0	0.41134	0.06029	0.03509	0.08099	0.10689	0.37222	0.05456	0.03176	0.07329	0.09673	93.85	71.19	17.16	3.68	73.32	-167.95	79.60	22.71	23.91	86.15	18.28	76.59	16.29	5.47	78.49	0.75166	0.00122	0.00118	0.00558	0.00583
25.0	3000.0	0.45984	0.07425	0.04510	0.08719	0.12308	0.41611	0.06719	0.04081	0.07889	0.11138	39.17	74.80	21.54	3.05	77.90	-133.52	83.28	27.19	4.52	87.73	47.52	82.08	20.68	9.85	85.22	0.75082	0.00126	0.00124	0.00492	0.00523
25.0	4000.0	0.43316	0.07782	0.05279	0.08025	0.12362	0.39197	0.07042	0.04777	0.07262	0.11187	30.35	67.99	24.34	6.30	72.49	-147.22	75.88	30.15	10.80	82.36	57.46	75.54	23.20	2.49	79.06	0.74905	0.00117	0.00129	0.00472	0.00503
25.0	5000.0	0.51368	0.10388	0.06913	0.08941	0.15351	0.46483	0.09400	0.06256	0.08091	0.13891	1.76	75.81	30.07	3.42	81.63	-180.04	85.51	36.99	6.19	93.38	55.07	86.71	27.40	19.85	93.08	0.74831	0.00137	0.00139	0.00445	0.00486
30.0	0.0	0.48527	0.07119	0.02390	0.15201	0.16954	0.43913	0.06442	0.02163	0.13755	0.15342	144.26	120.49	9.44	12.60	121.51	-238.93	131.56	17.94	116.55	176.67	179.49	127.91	11.54	48.51	137.28	0.74959	0.00198	0.00108	0.01140	0.01162
30.0	1000.0	0.45955	0.07929	0.03184	0.09702	0.12928	0.41585	0.07175	0.02881	0.08779	0.11698	146.35	93.28	13.81	5.36	94.45	-172.16	103.54	21.28	16.84	107.04	48.70	99.95	14.03	22.83	103.48	0.75111	0.00157	0.00113	0.00756	0.00780
30.0	2000.0	0.41116	0.07525	0.03894	0.09302	0.12583	0.37206	0.06810	0.03524	0.08417	0.11386	93.63	75.67	17.66	3.55	77.79	-169.43	85.48	24.62	24.33	92.22	19.00	82.11	17.32	5.66	84.11	0.75232	0.00127	0.00118	0.00597	0.00622
30.0	3000.0	0.45037	0.08775	0.04888	0.09485	0.13815	0.40754	0.07940	0.04423	0.08583	0.12501	36.74	77.16	21.93	4.48	80.34	-131.87	87.09	28.91	3.50	91.83	49.70	85.08	21.34	8.62	88.14	0.75125	0.00129	0.00124	0.00518	0.00548
30.0	4000.0	0.41998	0.09047	0.05683	0.08325	0.13545	0.38004	0.08187	0.05143	0.07534	0.12257	28.06	68.82	24.69	7.60	73.51	-144.42	78.21	31.75	11.94	85.25	59.26	76.70	23.73	0.80	80.29	0.74921	0.00119	0.00129	0.00489	0.00520
30.0	5000.0	0.49283	0.11948	0.07401	0.09092	0.16739	0.44596	0.10812	0.06697	0.08227	0.15147	2.23	75.25	30.44	0.51	81.17	-182.84	86.70	38.35	5.69	94.97	56.17	86.24	27.95	17.35	92.30	0.74825	0.00138	0.00139	0.00457	0.00497
